,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,state
0,0,179.80874482315178,2025-07-05 10:32:25.658050,2025-07-05 10:41:27.355750,0 days 00:09:01.697700,256,0.27015871298879923,0.007331811314274292,0.9037546175536876,0.9987897318570308,0.00013254336858479742,12,2048,COMPLETE
1,1,347.7408664515063,2025-07-05 10:41:27.357148,2025-07-05 10:52:47.296374,0 days 00:11:19.939226,64,0.28740470800986584,0.00038514014014473015,0.9851529180135082,0.9900313940558774,0.0004953243742502885,6,2048,COMPLETE
2,2,347.65138857483373,2025-07-05 10:52:47.297785,2025-07-05 11:03:28.836186,0 days 00:10:41.538401,128,0.2642659785685301,0.00020393416894354225,0.9830350599055937,0.9951445715187038,0.0001781499551062749,12,1024,COMPLETE
3,3,883.8571961838895,2025-07-05 11:03:28.838241,2025-07-05 11:15:43.721579,0 days 00:12:14.883338,64,0.2472762032027066,0.0009982148373165974,0.9809650425291288,0.9991979680041875,0.00022643096615753008,13,2048,COMPLETE
4,4,600.8390096516181,2025-07-05 11:15:43.724578,2025-07-05 11:27:44.337031,0 days 00:12:00.612453,64,0.29781991947792663,0.00014328694994620325,0.9600365971277348,0.9930862722923453,0.00012410814724047025,11,4096,COMPLETE
5,5,505.9058703143489,2025-07-05 11:27:44.338075,2025-07-05 11:40:29.618499,0 days 00:12:45.280424,64,0.16455910027466386,0.00023062832695121884,0.9750975852501652,0.9996382882923835,0.0007859307503417002,10,4096,COMPLETE
6,6,274.6964608306212,2025-07-05 11:40:29.619644,2025-07-05 11:50:13.485864,0 days 00:09:43.866220,128,0.17275270563169215,0.005178651356037131,0.9130067755319557,0.9923638055645806,0.00010538485532051704,6,1024,COMPLETE
7,7,171.65241262803485,2025-07-05 11:50:13.487891,2025-07-05 11:58:00.118235,0 days 00:07:46.630344,256,0.2822253994557921,0.002251063631653933,0.9150044842856643,0.9972192266900152,0.00010632074510443147,9,2048,COMPLETE
8,8,456.2049623194051,2025-07-05 11:58:00.119432,2025-07-05 12:07:08.897570,0 days 00:09:08.778138,256,0.20793212077462384,0.008182840258979548,0.9346302671211701,0.9996438064276822,0.00012333133018899349,14,1024,COMPLETE
9,9,340.97107090069557,2025-07-05 12:07:08.899636,2025-07-05 12:22:06.740743,0 days 00:14:57.841107,64,0.16835801289868857,0.00017629754763213182,0.9854316287991345,0.9994781894731212,0.00014818163421468036,10,1024,COMPLETE
